PON: 0/1/1:74 | Nama: NA | MAC: a0:9b:12:c4:2b:41 | Data: 0/1/1:74,NA,a0:9b:12:c4:2b:41,Up,NA,NA,NA,NA,NA,NA,NA,-23.28,460
PON: 0/1/1:75 | Nama: NA | MAC: 74:b5:7e:3a:ef:8f | Data: 0/1/1:75,NA,74:b5:7e:3a:ef:8f,Down,NA,NA,NA,NA,NA,NA,NA,-23.10,927
PON: 0/1/1:76 | Nama: NA | MAC: 9c:6f:52:26:fb:14 | Data: 0/1/1:76,NA,9c:6f:52:26:fb:14,Up,NA,NA,NA,NA,NA,NA,NA,-15.69,449
PON: 0/1/1:77 | Nama: NA | MAC: 14:ad:ca:ce:7f:90 | Data: 0/1/1:77,NA,14:ad:ca:ce:7f:90,Down,NA,NA,NA,NA,NA,NA,NA,-17.01,431
PON: 0/1/1:78 | Nama: NA | MAC: 40:0e:f3:85:52:a0 | Data: 0/1/1:78,NA,40:0e:f3:85:52:a0,Up,NA,NA,NA,NA,NA,NA,NA,-14.51,624
PON: 0/1/1:79 | Nama: NA | MAC: 50:78:b3:36:e2:02 | Data: 0/1/1:79,NA,50:78:b3:36:e2:02,Up,NA,NA,NA,NA,NA,NA,NA,-18.45,490
PON: 0/1/1:80 | Nama: NA | MAC: 98:13:33:c3:01:71 | Data: 0/1/1:80,NA,98:13:33:c3:01:71,Up,NA,NA,NA,NA,NA,NA,NA,-12.98,527
PON: 0/1/1:81 | Nama: NA | MAC: 18:69:da:3a:49:c0 | Data: 0/1/1:81,NA,18:69:da:3a:49:c0,Down,NA,NA,NA,NA,NA,NA,NA,0,557
PON: 0/1/1:82 | Nama: NA | MAC: ec:23:7b:a2:85:d3 | Data: 0/1/1:82,NA,ec:23:7b:a2:85:d3,Up,NA,NA,NA,NA,NA,NA,NA,-17.96,577
PON: 0/1/1:83 | Nama: NA | MAC: e4:47:b3:7e:9c:7b | Data: 0/1/1:83,NA,e4:47:b3:7e:9c:7b,Up,NA,NA,NA,NA,NA,NA,NA,-29.59,507
PON: 0/1/1:84 | Nama: NA | MAC: 14:ad:ca:ad:85:e0 | Data: 0/1/1:84,NA,14:ad:ca:ad:85:e0,Down,NA,NA,NA,NA,NA,NA,NA,-24.44,942
PON: 0/1/1:85 | Nama: NA | MAC: 1c:78:4e:33:43:00 | Data: 0/1/1:85,NA,1c:78:4e:33:43:00,Down,NA,NA,NA,NA,NA,NA,NA,-24.44,970
PON: 0/1/1:86 | Nama: NA | MAC: d4:7e:e4:f7:dd:38 | Data: 0/1/1:86,NA,d4:7e:e4:f7:dd:38,Down,NA,NA,NA,NA,NA,NA,NA,-25.09,947
PON: 0/1/1:87 | Nama: NA | MAC: d0:d0:4b:0b:9c:22 | Data: 0/1/1:87,NA,d0:d0:4b:0b:9c:22,Down,NA,NA,NA,NA,NA,NA,NA,-25.09,982
PON: 0/1/1:88 | Nama: NA | MAC: 14:a0:f8:d7:a3:95 | Data: 0/1/1:88,NA,14:a0:f8:d7:a3:95,Down,NA,NA,NA,NA,NA,NA,NA,-17.14,492
PON: 0/1/1:89 | Nama: NA | MAC: 2c:ab:00:bb:88:68 | Data: 0/1/1:89,NA,2c:ab:00:bb:88:68,Down,NA,NA,NA,NA,NA,NA,NA,-24.95,988
PON: 0/1/1:90 | Nama: NA | MAC: 04:25:c5:c6:dc:50 | Data: 0/1/1:90,NA,04:25:c5:c6:dc:50,Down,NA,NA,NA,NA,NA,NA,NA,0,583
PON: 0/1/1:91 | Nama: NA | MAC: 04:7e:23:af:78:38 | Data: 0/1/1:91,NA,04:7e:23:af:78:38,Down,NA,NA,NA,NA,NA,NA,NA,-26.20,956
PON: 0/1/1:92 | Nama: NA | MAC: 1c:78:4e:07:ba:38 | Data: 0/1/1:92,NA,1c:78:4e:07:ba:38,Down,NA,NA,NA,NA,NA,NA,NA,-26.78,963
PON: 0/1/1:93 | Nama: NA | MAC: c0:fd:84:3f:8a:1a | Data: 0/1/1:93,NA,c0:fd:84:3f:8a:1a,Down,NA,NA,NA,NA,NA,NA,NA,-26.02,901
PON: 0/1/1:94 | Nama: FQ-076@150324/ODP8 | MAC: 1c:78:4e:f2:5d:00 | Data: 0/1/1:94,FQ-076@150324/ODP8,1c:78:4e:f2:5d:00,Up,NA,NA,NA,NA,NA,NA,NA,-18.07,430
PON: 0/1/1:95 | Nama: NA | MAC: 1c:78:4e:00:d0:58 | Data: 0/1/1:95,NA,1c:78:4e:00:d0:58,Down,NA,NA,NA,NA,NA,NA,NA,-26.02,923
PON: 0/1/1:96 | Nama: NA | MAC: 1c:27:04:9b:8d:47 | Data: 0/1/1:96,NA,1c:27:04:9b:8d:47,Up,NA,NA,NA,NA,NA,NA,NA,-26.78,466
PON: 0/1/1:97 | Nama: NA | MAC: 1c:78:4e:c3:20:60 | Data: 0/1/1:97,NA,1c:78:4e:c3:20:60,Down,NA,NA,NA,NA,NA,NA,NA,-25.53,795
PON: 0/1/1:98 | Nama: NA | MAC: 9c:6f:52:3f:1d:53 | Data: 0/1/1:98,NA,9c:6f:52:3f:1d:53,Up,NA,NA,NA,NA,NA,NA,NA,-16.78,631
PON: 0/1/1:99 | Nama: NA | MAC: 14:ad:ca:ad:3a:c8 | Data: 0/1/1:99,NA,14:ad:ca:ad:3a:c8,Up,NA,NA,NA,NA,NA,NA,NA,-18.36,410
PON: 0/1/1:100 | Nama: NA | MAC: 44:22:95:12:89:b8 | Data: 0/1/1:100,NA,44:22:95:12:89:b8,Down,NA,NA,NA,NA,NA,NA,NA,-31.55,462
PON: 0/1/1:101 | Nama: NA | MAC: f8:6c:e1:90:65:15 | Data: 0/1/1:101,NA,f8:6c:e1:90:65:15,Down,NA,NA,NA,NA,NA,NA,NA,-23.10,769
PON: 0/1/1:102 | Nama: NA | MAC: c0:d0:ff:c9:5c:90 | Data: 0/1/1:102,NA,c0:d0:ff:c9:5c:90,Up,NA,NA,NA,NA,NA,NA,NA,-15.17,662
PON: 0/1/1:103 | Nama: NA | MAC: 80:22:78:d6:d9:98 | Data: 0/1/1:103,NA,80:22:78:d6:d9:98,Up,NA,NA,NA,NA,NA,NA,NA,-24.20,493
PON: 0/1/1:104 | Nama: NA | MAC: 50:55:8d:32:58:9f | Data: 0/1/1:104,NA,50:55:8d:32:58:9f,Down,NA,NA,NA,NA,NA,NA,NA,-24.20,799
PON: 0/1/1:105 | Nama: NA | MAC: 40:0e:f3:90:0e:7b | Data: 0/1/1:105,NA,40:0e:f3:90:0e:7b,Up,NA,NA,NA,NA,NA,NA,NA,-17.14,618
