PON: 0/1/2:58 | Nama: NA | MAC: 00:1a:69:5d:c1:ef | Data: 0/1/2:58,NA,00:1a:69:5d:c1:ef,Down,NA,NA,NA,NA,NA,NA,NA,0,83
PON: 0/1/2:59 | Nama: NA | MAC: 04:33:89:22:8e:f7 | Data: 0/1/2:59,NA,04:33:89:22:8e:f7,Down,NA,NA,NA,NA,NA,NA,NA,0,82
PON: 0/1/2:60 | Nama: NA | MAC: 50:78:b3:13:ea:6b | Data: 0/1/2:60,NA,50:78:b3:13:ea:6b,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:61 | Nama: NA | MAC: 68:d1:ba:c3:21:78 | Data: 0/1/2:61,NA,68:d1:ba:c3:21:78,Down,NA,NA,NA,NA,NA,NA,NA,0,81
PON: 0/1/2:62 | Nama: NA | MAC: 1c:78:4e:ba:68:a8 | Data: 0/1/2:62,NA,1c:78:4e:ba:68:a8,Down,NA,NA,NA,NA,NA,NA,NA,0,83
PON: 0/1/2:63 | Nama: NA | MAC: 9c:6f:52:31:76:3c | Data: 0/1/2:63,NA,9c:6f:52:31:76:3c,Down,NA,NA,NA,NA,NA,NA,NA,0,74
PON: 0/1/2:64 | Nama: NA | MAC: c4:a3:66:65:65:08 | Data: 0/1/2:64,NA,c4:a3:66:65:65:08,Down,NA,NA,NA,NA,NA,NA,NA,0,73
PON: 0/1/2:65 | Nama: NA | MAC: 5c:54:6d:09:4a:72 | Data: 0/1/2:65,NA,5c:54:6d:09:4a:72,Down,NA,NA,NA,NA,NA,NA,NA,0,89
PON: 0/1/2:66 | Nama: NA | MAC: dc:71:37:8d:28:75 | Data: 0/1/2:66,NA,dc:71:37:8d:28:75,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:67 | Nama: NA | MAC: 1c:78:4e:9e:45:40 | Data: 0/1/2:67,NA,1c:78:4e:9e:45:40,Down,NA,NA,NA,NA,NA,NA,NA,0,84
PON: 0/1/2:68 | Nama: NA | MAC: b0:30:55:74:c0:10 | Data: 0/1/2:68,NA,b0:30:55:74:c0:10,Down,NA,NA,NA,NA,NA,NA,NA,0,329
PON: 0/1/2:69 | Nama: NA | MAC: e8:43:68:8f:2d:27 | Data: 0/1/2:69,NA,e8:43:68:8f:2d:27,Down,NA,NA,NA,NA,NA,NA,NA,0,329
PON: 0/1/2:70 | Nama: NA | MAC: 2c:ab:00:42:66:2b | Data: 0/1/2:70,NA,2c:ab:00:42:66:2b,Up,NA,NA,NA,NA,NA,NA,NA,-18.39,163
