PON: 1/2/2:42 | Nama: NA | MAC: fc:f2:9f:e4:e4:98 | Data: 1/2/2:42,NA,fc:f2:9f:e4:e4:98,Up,ZTE-F601,CIOT16E4E498,NA,NA,NA,NA,NA,-21.396,6.289
PON: 1/2/2:43 | Nama: NA | MAC: 14:ad:ca:c9:25:b8 | Data: 1/2/2:43,NA,14:ad:ca:c9:25:b8,Up,ZTE-F601,CIOT12C925B8,NA,NA,NA,NA,NA,-19.965,6.282
PON: 1/2/2:44 | Nama: NA | MAC: 1c:78:4e:17:f4:18 | Data: 1/2/2:44,NA,1c:78:4e:17:f4:18,Up,ZTE-F601,CIOT1417F418,NA,NA,NA,NA,NA,-18.016,6.282
PON: 1/2/2:45 | Nama: NA | MAC: fc:f2:9f:7c:87:38 | Data: 1/2/2:45,NA,fc:f2:9f:7c:87:38,Up,ZTE-F601,CIOT167C8738,NA,NA,NA,NA,NA,-15.456,6.289
PON: 1/2/2:46 | Nama: NA | MAC: fc:f2:9f:f4:07:d8 | Data: 1/2/2:46,NA,fc:f2:9f:f4:07:d8,Up,ZTE-F601,CIOT16F407D8,NA,NA,NA,NA,NA,-23.001,6.289
PON: 1/2/3:1 | Nama: NA | MAC: NA | Data: 1/2/3:1,NA,NA,Down,ZTE-F609,ZICGC9970667,NA,NA,NA,NA,NA,0,6.339
PON: 1/2/3:2 | Nama: NA | MAC: 44:22:95:ca:7a:c0 | Data: 1/2/3:2,NA,44:22:95:ca:7a:c0,Up,ZTE-F601,CIOT13CA7AC0,NA,NA,NA,NA,NA,-15.955,6.339
PON: 1/2/3:3 | Nama: NA | MAC: NA | Data: 1/2/3:3,NA,NA,Down,ZTE-F601,CIOT22222CF0,NA,NA,NA,NA,NA,0,6.339
PON: 1/2/3:6 | Nama: NA | MAC: fc:8e:5b:6c:ad:f8 | Data: 1/2/3:6,NA,fc:8e:5b:6c:ad:f8,Up,ZTE-F601,CIOT156CADF8,NA,NA,NA,NA,NA,-18.847,6.339
PON: 1/2/3:7 | Nama: NA | MAC: 44:22:95:eb:6a:70 | Data: 1/2/3:7,NA,44:22:95:eb:6a:70,Up,ZTE-F601,CIOT13EB6A70,NA,NA,NA,NA,NA,-14.280,6.339
PON: 1/2/3:8 | Nama: NA | MAC: d4:76:ea:95:9f:8e | Data: 1/2/3:8,NA,d4:76:ea:95:9f:8e,Up,ZTE-F601,ZTEGCA97DC3E,NA,NA,NA,NA,NA,-21.378,6.339
PON: 1/2/3:9 | Nama: NA | MAC: 44:fb:5a:a6:b8:53 | Data: 1/2/3:9,NA,44:fb:5a:a6:b8:53,Up,ZTE-F601,ZTEGCBD90F99,NA,NA,NA,NA,NA,-15.512,6.339
PON: 1/2/3:10 | Nama: NA | MAC: NA | Data: 1/2/3:10,NA,NA,Down,ZTE-F601,CIOT1741A8D8,NA,NA,NA,NA,NA,0,6.339
PON: 1/2/3:12 | Nama: NA | MAC: 80:22:78:fa:e6:38 | Data: 1/2/3:12,NA,80:22:78:fa:e6:38,Up,ZTE-F601,CIOT22FAE638,NA,NA,NA,NA,NA,-15.690,6.339
PON: 1/2/3:13 | Nama: NA | MAC: a0:cf:f5:c8:1c:f0 | Data: 1/2/3:13,NA,a0:cf:f5:c8:1c:f0,Up,ZTE-F601,ZICG08C81CEF,NA,NA,NA,NA,NA,-17.086,6.339
PON: 1/2/3:14 | Nama: NA | MAC: 14:ad:ca:f9:08:80 | Data: 1/2/3:14,NA,14:ad:ca:f9:08:80,Up,ZTE-F601,CIOT12F90880,NA,NA,NA,NA,NA,-18.157,6.339
PON: 1/2/3:15 | Nama: NA | MAC: c0:d0:ff:cd:fa:20 | Data: 1/2/3:15,NA,c0:d0:ff:cd:fa:20,Up,ZTE-F601,CIOT07CDFA20,NA,NA,NA,NA,NA,-19.292,6.339
PON: 1/2/3:16 | Nama: NA | MAC: d4:76:ea:63:73:d3 | Data: 1/2/3:16,NA,d4:76:ea:63:73:d3,Up,ZTE-F601,ZTEGCA97DD28,NA,NA,NA,NA,NA,-16.607,6.339
PON: 1/2/3:17 | Nama: NA | MAC: 68:8b:0f:c1:fa:20 | Data: 1/2/3:17,NA,68:8b:0f:c1:fa:20,Up,ZTE-F601,CIOT10C1FA20,NA,NA,NA,NA,NA,-16.709,6.339
PON: 1/2/3:18 | Nama: NA | MAC: 44:13:d0:74:57:08 | Data: 1/2/3:18,NA,44:13:d0:74:57:08,Up,ZTE-F601,ZTEGCA85E5FE,NA,NA,NA,NA,NA,-16.504,6.339
PON: 1/2/3:19 | Nama: NA | MAC: 1c:78:4e:46:8d:d8 | Data: 1/2/3:19,NA,1c:78:4e:46:8d:d8,Up,ZTE-F601,CIOT14468DD8,NA,NA,NA,NA,NA,-14.807,6.339
PON: 1/2/3:20 | Nama: NA | MAC: 20:e8:82:c7:fd:5c | Data: 1/2/3:20,NA,20:e8:82:c7:fd:5c,Up,ZTE-F601,ZTEGC875D36F,NA,NA,NA,NA,NA,-16.715,6.339
